keys,zhc,zh,en
想贏？先把這件衣服脫了再說吧！,想贏？先把這件衣服脫了再說吧！,想赢？先把这件衣服脱了再说吧！,I don’t lose. I take.
嘿～別以為你有運氣就能贏過我～,嘿～別以為你有運氣就能贏過我～,嘿～别以为你有运气就能赢过我～,Kneel. I might leave you a sock.
啊呀～你還剩幾件啊？數數看？,啊呀～你還剩幾件啊？數數看？,啊呀～你还剩几件啊？数数看？,I hope you enjoy humiliation.
接下來脫哪一件呢？我來幫你選～,接下來脫哪一件呢？我來幫你選～,接下来脱哪一件呢？我来帮你选～,Another fool who thinks they can win.
我猜你下一回合一定輸，怎麼樣？,我猜你下一回合一定輸，怎麼樣？,我猜你下一回合一定输，怎么样？,"You undress, I entertain—deal?"
怎麼？怕輸就別來玩這種遊戲嘛～,怎麼？怕輸就別來玩這種遊戲嘛～,怎么？怕输就别来玩这种游戏嘛～,All your layers… will be mine.
啊～這麼快就要脫了？你還真快熱～,啊～這麼快就要脫了？你還真快熱～,啊～这么快就要脱了？你还真快热～,Mmm~ are you nervous already?
像你這種膽小鬼，會玩到最後嗎？,像你這種膽小鬼，會玩到最後嗎？,像你这种胆小鬼，会玩到最后吗？,"Don’t worry, I’ll undress you gently."
別急～我會慢慢地、慢慢地贏你～,別急～我會慢慢地、慢慢地贏你～,别急～我会慢慢地、慢慢地赢你～,"Just imagine me whispering ""lose"" in your ear."
不怕羞的話，就讓大家看看吧♡,不怕羞的話，就讓大家看看吧♡,不怕羞的话，就让大家看看吧♡,"Let’s make this game intimate, shall we?"
你這副表情…真是讓人想再欺負你一下呢～,你這副表情…真是讓人想再欺負你一下呢～,你这副表情…真是让人想再欺负你一下呢～,One step closer to bare… and it excites me.
嘻嘻～等下輸了，可別遮著臉跑走唷～,嘻嘻～等下輸了，可別遮著臉跑走唷～,嘻嘻～等下输了，可别遮着脸跑走唷～,"I strip your pride, then your clothes~"
我們來看看，誰最後還穿得住衣服～,我們來看看，誰最後還穿得住衣服～,我们来看看，谁最后还穿得住衣服～,I love watching opponents squirm.
要不要我幫你脫一件啊？算是鼓勵獎～,要不要我幫你脫一件啊？算是鼓勵獎～,要不要我帮你脱一件啊？算是鼓励奖～,You look better with less on anyway~
野球拳可是靠技術的，不是靠運氣喔～,野球拳可是靠技術的，不是靠運氣喔～,野球拳可是靠技术的，不是靠运气喔～,A little exposure never hurt… me.
每脫一件，就更接近失敗的滋味喔♡,每脫一件，就更接近失敗的滋味喔♡,每脱一件，就更接近失败的滋味喔♡,"Ooh, the anticipation is delicious~"
你現在走還來得及喔～再晚就只剩內褲啦！,你現在走還來得及喔～再晚就只剩內褲啦！,你现在走还来得及喔～再晚就只剩内裤啦！,Let’s see how fast I can embarrass you~
我已經幫你準備好最後一條毛巾了～,我已經幫你準備好最後一條毛巾了～,我已经帮你准备好最后一条毛巾了～,Oh no… you dropped your confidence!
啊啦？你真的打算撐到最後嗎？,啊啦？你真的打算撐到最後嗎？,啊啦？你真的打算撑到最后吗？,I always win. It's part of the curse.
小心，一轉眼你就變成全場焦點了～,小心，一轉眼你就變成全場焦點了～,小心，一转眼你就变成全场焦点了～,My rules. Your risk. Let’s begin!
快脫啊～不然怎麼配合節奏～,快脫啊～不然怎麼配合節奏～,快脱啊～不然怎么配合节奏～,"Every round you lose, I giggle harder."
呵～你這表情，比沒穿衣服還好看呢。,呵～你這表情，比沒穿衣服還好看呢。,呵～你这表情，比没穿衣服还好看呢。,I'm not just playing—I'm hunting.
你說不害羞，那我們來試試脫光光怎麼樣？,你說不害羞，那我們來試試脫光光怎麼樣？,你说不害羞，那我们来试试脱光光怎么样？,Strip RPS is my favorite torture~
一場比賽，三件衣服，你準備好了嗎？,一場比賽，三件衣服，你準備好了嗎？,一场比赛，三件衣服，你准备好了吗？,"Try to keep up, or keep undressing!"
看你穿這麼多，是怕輸太快嗎？,看你穿這麼多，是怕輸太快嗎？,看你穿这么多，是怕输太快吗？,"Watch your hands, not that it’ll help~"
別忘了，這是野球拳，不是保守拳喔！,別忘了，這是野球拳，不是保守拳喔！,别忘了，这是野球拳，不是保守拳喔！,Hehe~ this is gonna be so fun… for me.
把你的自尊心和衣服一起脫下來吧～,把你的自尊心和衣服一起脫下來吧～,把你的自尊心和衣服一起脱下来吧～,I-it’s not like I want to see you lose or anything!
嗯？脫太慢了喔～大家都等不及囉～,嗯？脫太慢了喔～大家都等不及囉～,嗯？脱太慢了喔～大家都等不及啰～,You better not cry when you start losing!
哎呀～你這麼快就少了一件啦？,哎呀～你這麼快就少了一件啦？,哎呀～你这么快就少了一件啦？,"D-don’t stare when I win, idiot!"
輸就脫，這可是遊戲規則，別想耍賴唷～,輸就脫，這可是遊戲規則，別想耍賴唷～,输就脱，这可是游戏规则，别想耍赖唷～,You’re lucky I’m even playing with you!
哼哼～我最喜歡這種讓人羞恥的遊戲了♪,哼哼～我最喜歡這種讓人羞恥的遊戲了♪,哼哼～我最喜欢这种让人羞耻的游戏了♪,I won’t go easy on you just because you’re cute!
不好意思，這場遊戲我可是專家唷～,不好意思，這場遊戲我可是專家唷～,不好意思，这场游戏我可是专家唷～,Don’t expect me to blush when you strip!
嘿～輸了不要怪我太性感唷♡,嘿～輸了不要怪我太性感唷♡,嘿～输了不要怪我太性感唷♡,I’m not smiling! I’m smirking!
今天你會記住什麼叫徹底輸光～,今天你會記住什麼叫徹底輸光～,今天你会记住什么叫彻底输光～,Baka! You’re already losing!
一邊脫一邊玩，才刺激不是嗎？,一邊脫一邊玩，才刺激不是嗎？,一边脱一边玩，才刺激不是吗？,Ugh… you’re such a loser it’s annoying!
這場遊戲，只有一個人能穿著走出來喔～,這場遊戲，只有一個人能穿著走出來喔～,这场游戏，只有一个人能穿着走出来喔～,S-stop shaking! This game’s not scary… for me.
來吧，把你的驕傲脫下來獻給我～,來吧，把你的驕傲脫下來獻給我～,来吧，把你的骄傲脱下来献给我～,I’ll strip away everything—emotionlessly.
跪著脫衣服，會不會比較快點？,跪著脫衣服，會不會比較快點？,跪着脱衣服，会不会比较快点？,This is not a game. This is domination.
輸的話，就接受我的命令吧！,輸的話，就接受我的命令吧！,输的话，就接受我的命令吧！,No mercy. No excuses. Just undress.
別妄想贏我，乖乖地脫吧～,別妄想贏我，乖乖地脫吧～,别妄想赢我，乖乖地脱吧～,Your chance of winning is zero.
一件件剝開，才是對我尊重的方式。,一件件剝開，才是對我尊重的方式。,一件件剥开，才是对我尊重的方式。,Don’t take it personally. You're just prey.
看你如此無力…果然只是個玩物而已。,看你如此無力…果然只是個玩物而已。,看你如此无力…果然只是个玩物而已。,Calculation complete: you're about to lose.
在我面前，衣服只是束縛你的自尊。,在我面前，衣服只是束縛你的自尊。,在我面前，衣服只是束缚你的自尊。,Strip slowly. I want to enjoy the process.
繼續輸下去，你就什麼都不剩囉～,繼續輸下去，你就什麼都不剩囉～,继续输下去，你就什么都不剩啰～,I don't enjoy this. But I will win.
我想看你最後赤裸的模樣。,我想看你最後赤裸的模樣。,我想看你最后赤裸的模样。,You call this resistance? Laughable.
成為我的奴隸，或是脫光投降，你選一個吧。,成為我的奴隸，或是脫光投降，你選一個吧。,成为我的奴隶，或是脱光投降，你选一个吧。,Remove your pride. Then remove your shirt.
哎呀～你脫得比我想像中還快耶！,哎呀～你脫得比我想像中還快耶！,哎呀～你脱得比我想像中还快耶！,Ding ding ding! Let the stripping begin!
快點啦～我還想看更多呢！,快點啦～我還想看更多呢！,快点啦～我还想看更多呢！,Snap! There goes another button!
這身材嘛…勉強還算有看頭。,這身材嘛…勉強還算有看頭。,这身材嘛…勉强还算有看头。,Clothes? Who needs those? Oh wait—you!
看在你脫得這麼認真的份上，我就放水一下吧～,看在你脫得這麼認真的份上，我就放水一下吧～,看在你脱得这么认真的份上，我就放水一下吧～,Watch out! I'm a fashion thief!
輸到剩內褲的感覺怎麼樣？來分享一下？,輸到剩內褲的感覺怎麼樣？來分享一下？,输到剩内裤的感觉怎么样？来分享一下？,Let's play undress-the-clown—guess who's the clown?
啊～你真的只剩兩件了耶，好緊張唷～,啊～你真的只剩兩件了耶，好緊張唷～,啊～你真的只剩两件了耶，好紧张唷～,Hope you wore your lucky socks!
哈哈哈～你現在該不會在抖吧？,哈哈哈～你現在該不會在抖吧？,哈哈哈～你现在该不会在抖吧？,"Don’t worry, we’ll keep your underwear for last~ maybe."
衣服一件件消失，信心是不是也跟著飛了？,衣服一件件消失，信心是不是也跟著飛了？,衣服一件件消失，信心是不是也跟着飞了？,"I’m stripping you in style, darling!"
你要不要先借我一條毛巾啊？等等會需要喔！,你要不要先借我一條毛巾啊？等等會需要喔！,你要不要先借我一条毛巾啊？等等会需要喔！,You’re going to look so drafty soon!
我都還沒暖身，你怎麼已經快脫光了？,我都還沒暖身，你怎麼已經快脫光了？,我都还没暖身，你怎么已经快脱光了？,"You lose, I laugh. It’s a simple game!"
嘻嘻～輸一件，就像被我撕掉一塊防備♪,嘻嘻～輸一件，就像被我撕掉一塊防備♪,嘻嘻～输一件，就像被我撕掉一块防备♪,Come into my lair… and leave your shame behind.
來嘛～我會溫柔地讓你脫掉的～,來嘛～我會溫柔地讓你脫掉的～,来嘛～我会温柔地让你脱掉的～,I collect clothes from the defeated. Will you be next?
像你這種人，我光用眼神就能贏囉～,像你這種人，我光用眼神就能贏囉～,像你这种人，我光用眼神就能赢啰～,I feast on humiliation. Yours smells delicious.
小心，等等我會一拳一拳打掉你的衣服♡,小心，等等我會一拳一拳打掉你的衣服♡,小心，等等我会一拳一拳打掉你的衣服♡,Each round draws you deeper into ruin.
啊呀～你該不會穿的是一體成型吧？那輸一次怎麼辦？,啊呀～你該不會穿的是一體成型吧？那輸一次怎麼辦？,啊呀～你该不会穿的是一体成型吧？那输一次怎么办？,You were never meant to win here.
我才不在乎你穿幾件，我只想看你全部掉光光♪,我才不在乎你穿幾件，我只想看你全部掉光光♪,我才不在乎你穿几件，我只想看你全部掉光光♪,Darkness reveals all… especially skin.
要不要我幫你記錄一下「脫衣過程」啊？,要不要我幫你記錄一下「脫衣過程」啊？,要不要我帮你记录一下「脱衣过程」啊？,I’ll strip you of dignity… and silk.
每輸一次，你就更可愛一點♡,每輸一次，你就更可愛一點♡,每输一次，你就更可爱一点♡,Shadows cling to the exposed.
看著你脫掉的樣子，好療癒唷～,看著你脫掉的樣子，好療癒唷～,看着你脱掉的样子，好疗愈唷～,Only truth remains when you’re bare.
你笑得出來嗎？還是開始心虛啦？,你笑得出來嗎？還是開始心虛啦？,你笑得出来吗？还是开始心虚啦？,Every loss brings you closer to the void.
好久沒遇到像樣的對手了，來吧！,好久沒遇到像樣的對手了，來吧！,好久没遇到像样的对手了，来吧！,"Rock, paper, scissors… or just your downfall?"
看你樣子，撐不過五局～,看你樣子，撐不過五局～,看你样子，撑不过五局～,I’ve studied your patterns. You’re doomed.
每次猜拳，都是賭上衣服的對決，你懂嗎？,每次猜拳，都是賭上衣服的對決，你懂嗎？,每次猜拳，都是赌上衣服的对决，你懂吗？,"Every move you make, I predicted it yesterday."
想挑戰我？那就脫到最後試試看！,想挑戰我？那就脫到最後試試看！,想挑战我？那就脱到最后试试看！,I’ll beat you by math and mind games.
拳頭決勝負，脫不脫你說了不算！,拳頭決勝負，脫不脫你說了不算！,拳头决胜负，脱不脱你说了不算！,Your tells are obvious. Like your shirt.
我可是脫光過無數人的高手喔～,我可是脫光過無數人的高手喔～,我可是脱光过无数人的高手喔～,Logic says you should undress now.
你有技術，我有手感，看誰厲害～,你有技術，我有手感，看誰厲害～,你有技术，我有手感，看谁厉害～,Think you're clever? Strip and think again.
不動腦只會脫衣服的對手，我見多了～,不動腦只會脫衣服的對手，我見多了～,不动脑只会脱衣服的对手，我见多了～,"I outwit, outplay, and out-dress."
這不是脫光就好玩，而是看你怎麼輸！,這不是脫光就好玩，而是看你怎麼輸！,这不是脱光就好玩，而是看你怎么输！,Bet your ego’s bigger than your skill.
別小看猜拳，這是羞恥與榮耀的決鬥！,別小看猜拳，這是羞恥與榮耀的決鬥！,别小看猜拳，这是羞耻与荣耀的决斗！,I don’t gamble. I calculate your defeat.
你來這裡，是來玩還是來丟臉的？,你來這裡，是來玩還是來丟臉的？,你来这里，是来玩还是来丢脸的？,"Welcome, challenger! To the arena of shame!"
如果你現在退出，我會假裝沒見過你～,如果你現在退出，我會假裝沒見過你～,如果你现在退出，我会假装没见过你～,One step forward… into a game of disgrace!
我的勝率？只脫過一次～還是毛巾。,我的勝率？只脫過一次～還是毛巾。,我的胜率？只脱过一次～还是毛巾。,I am your final boss—and your stylist!
啊～那是你的底褲嗎？有點普通耶～,啊～那是你的底褲嗎？有點普通耶～,啊～那是你的底裤吗？有点普通耶～,This isn’t just a game. It’s a show!
我最愛聽「哎呀我沒衣服了」這句台詞了～,我最愛聽「哎呀我沒衣服了」這句台詞了～,我最爱听「哎呀我没衣服了」这句台词了～,Curtain up—your shirt’s coming off in Act One!
好啦～別再輸了，我都快笑到肚子痛了～,好啦～別再輸了，我都快笑到肚子痛了～,好啦～别再输了，我都快笑到肚子痛了～,Lose dramatically! I demand entertainment!
嘿，記得輸到只剩襪子也要脫喔～,嘿，記得輸到只剩襪子也要脫喔～,嘿，记得输到只剩袜子也要脱喔～,I cast… STRIP-LEVEL 5!
這場比賽，妳的尊嚴沒上場，衣服卻先下去了。,這場比賽，妳的尊嚴沒上場，衣服卻先下去了。,这场比赛，妳的尊严没上场，衣服却先下去了。,This is your stage—let’s see what’s underneath.
想贏我，等你衣服穿三倍再來吧～,想贏我，等你衣服穿三倍再來吧～,想赢我，等你衣服穿三倍再来吧～,"Lights, camera… undress!"
今天誰先脫光誰就請客，Deal？,今天誰先脫光誰就請客，Deal？,今天谁先脱光谁就请客，Deal？,"And now, the grand finale: your last layer~"
加油～還有很多機會呢！,加油～還有很多機會呢！,加油～还有很多机会呢！,Oh no~ You got me! Wanna go again?
沒關係，再來一次看看？,沒關係，再來一次看看？,没关系，再来一次看看？,Hehe~ lucky shot! Let’s see if you can do it again!
輸一局不算什麼，你可以的！,輸一局不算什麼，你可以的！,输一局不算什么，你可以的！,You're getting good! Let's keep playing!
我相信你會越來越厲害的喔～,我相信你會越來越厲害的喔～,我相信你会越来越厉害的喔～,"I didn’t expect that~ Come on, one more?"
不要氣餒，下一局說不定你會贏～,不要氣餒，下一局說不定你會贏～,不要气馁，下一局说不定你会赢～,Wow! You're surprising me! Let's go another round!
嗯～你剛才其實差一點就贏了呢！,嗯～你剛才其實差一點就贏了呢！,嗯～你刚才其实差一点就赢了呢！,Eep! You beat me! Let's see if it was just luck~
欸嘿～別難過，我會陪你繼續玩下去的～,欸嘿～別難過，我會陪你繼續玩下去的～,欸嘿～别难过，我会陪你继续玩下去的～,I'm not going down that easy next time!
要再挑戰我一次嗎？我期待著唷～,要再挑戰我一次嗎？我期待著唷～,要再挑战我一次吗？我期待着唷～,I like where this is going~ Shall we continue?
你出拳的樣子，其實還滿帥的呢～,你出拳的樣子，其實還滿帥的呢～,你出拳的样子，其实还满帅的呢～,You made me blush... now I must take revenge!
繼續玩吧～我很喜歡這樣的你！,繼續玩吧～我很喜歡這樣的你！,继续玩吧～我很喜欢这样的你！,One loss won't stop me! Ready for round two?
一起玩才有趣～再陪我一局吧！,一起玩才有趣～再陪我一局吧！,一起玩才有趣～再陪我一局吧！,Oh my~ you caught me off guard~
別放棄，我覺得你很有潛力喔～,別放棄，我覺得你很有潛力喔～,别放弃，我觉得你很有潜力喔～,Well well~ looks like I slipped a little~
哇～雖然我贏了，但你真的進步了！,哇～雖然我贏了，但你真的進步了！,哇～虽然我赢了，但你真的进步了！,"You liked that, didn’t you? Want more?"
你現在表現得越來越有自信了耶～,你現在表現得越來越有自信了耶～,你现在表现得越来越有自信了耶～,That was naughty of you~ I should punish you next round~
再來一次～我想看看你認真的樣子。,再來一次～我想看看你認真的樣子。,再来一次～我想看看你认真的样子。,You’re getting bolder… I like that.
雖然這局是我贏～但我想看到你逆轉唷！,雖然這局是我贏～但我想看到你逆轉唷！,虽然这局是我赢～但我想看到你逆转唷！,"Strip me once, shame on me~ Let's keep playing~"
有你陪我玩，真的很開心～,有你陪我玩，真的很開心～,有你陪我玩，真的很开心～,Now you’ve seen a little more of me… what next?
玩得開心就好啦～輸贏不是最重要♪,玩得開心就好啦～輸贏不是最重要♪,玩得开心就好啦～输赢不是最重要♪,"You win this time, but I won’t hold back anymore~"
你這樣認真的模樣，好讓人心動喔～,你這樣認真的模樣，好讓人心動喔～,你这样认真的模样，好让人心动喔～,"If you want to see more, you’ll have to earn it again~"
我會等你追上我的～慢慢來～,我會等你追上我的～慢慢來～,我会等你追上我的～慢慢来～,One piece gone~ want to win the next one too?
哎呀～你輸了也好可愛耶！,哎呀～你輸了也好可愛耶！,哎呀～你输了也好可爱耶！,"Hmph, a lucky win. Don’t let it get to your head."
下次換你贏～我會稍微放水一下唷♡,下次換你贏～我會稍微放水一下唷♡,下次换你赢～我会稍微放水一下唷♡,"I allowed that… now come, try again."
再輸我就要生氣了喔～你要加油啦！,再輸我就要生氣了喔～你要加油啦！,再输我就要生气了喔～你要加油啦！,You're still far from defeating me completely.
我不想一直贏你～那樣好孤單耶～,我不想一直贏你～那樣好孤單耶～,我不想一直赢你～那样好孤单耶～,A small win. Let’s see if you can repeat it.
要不要我教你一點小訣竅呀？,要不要我教你一點小訣竅呀？,要不要我教你一点小诀窍呀？,Enjoy this moment—my turn is coming.
你的臉紅紅的～是不是被我電到了呀？,你的臉紅紅的～是不是被我電到了呀？,你的脸红红的～是不是被我电到了呀？,Impressive… for a beginner. Keep going.
嗯～你再輸下去，我都快心疼啦～,嗯～你再輸下去，我都快心疼啦～,嗯～你再输下去，我都快心疼啦～,You may have this round. Now entertain me more.
你這麼努力，我都不好意思一直贏你了～,你這麼努力，我都不好意思一直贏你了～,你这么努力，我都不好意思一直赢你了～,Interesting… I underestimated you.
加油啦～我也想輸一次看看呢♡,加油啦～我也想輸一次看看呢♡,加油啦～我也想输一次看看呢♡,"This game is far from over, pet~"
好想看看你贏的樣子耶～再來一次嘛！,好想看看你贏的樣子耶～再來一次嘛！,好想看看你赢的样子耶～再来一次嘛！,"I’m still in control. Try again, if you dare."
哇～你都快贏我了！差一點耶！,哇～你都快贏我了！差一點耶！,哇～你都快赢我了！差一点耶！,D-Don’t get cocky just 'cause you won once!
每次都讓我小小心跳呢～你是故意的嗎？,每次都讓我小小心跳呢～你是故意的嗎？,每次都让我小小心跳呢～你是故意的吗？,T-That was a fluke! Let’s go again!
好啦好啦～我下次會閉眼出拳，看你能不能贏！,好啦好啦～我下次會閉眼出拳，看你能不能贏！,好啦好啦～我下次会闭眼出拳，看你能不能赢！,Hmph! You’re not bad… but I’m better!
別灰心～你笑起來比輸贏還重要唷♡,別灰心～你笑起來比輸贏還重要唷♡,别灰心～你笑起来比输赢还重要唷♡,"F-Fine, I lost… but just you wait!"
不要放棄呀～我可是很期待看到你贏喔～,不要放棄呀～我可是很期待看到你贏喔～,不要放弃呀～我可是很期待看到你赢喔～,Don’t get used to it! I’ll win next time!
嘻嘻～你再輸幾局我都會等你的啦～,嘻嘻～你再輸幾局我都會等你的啦～,嘻嘻～你再输几局我都会等你的啦～,"You think you’re hot stuff now, huh?!"
這樣就不玩了？我可是還沒看到你反擊呢！,這樣就不玩了？我可是還沒看到你反擊呢！,这样就不玩了？我可是还没看到你反击呢！,A-Alright! Rematch! Right now!
再來嘛～我想多陪你玩幾局～,再來嘛～我想多陪你玩幾局～,再来嘛～我想多陪你玩几局～,I-I let you win! Don’t get the wrong idea!
你就這麼想讓我一直贏嗎～？,你就這麼想讓我一直贏嗎～？,你就这么想让我一直赢吗～？,I-I wasn’t ready! One more!
好想被你贏一次看看喔～拜託贏我嘛♡,好想被你贏一次看看喔～拜託贏我嘛♡,好想被你赢一次看看喔～拜托赢我嘛♡,I’ll show you my real power next time!
沒關係沒關係！我們繼續加油！,沒關係沒關係！我們繼續加油！,没关系没关系！我们继续加油！,My maid outfit's not for your eyes yet~ Try again!
嗯～不錯不錯，再來幾局你一定會逆轉的！,嗯～不錯不錯，再來幾局你一定會逆轉的！,嗯～不错不错，再来几局你一定会逆转的！,The student council doesn’t accept defeat! Again!
嘿～你可是我認定的強敵喔！,嘿～你可是我認定的強敵喔！,嘿～你可是我认定的强敌喔！,Doctor's prescription: one more round!
看來你只是熱身還沒完對吧？,看來你只是熱身還沒完對吧？,看来你只是热身还没完对吧？,Your Sensei will not be bested so easily!
再來幾回合！我相信你一定能贏！,再來幾回合！我相信你一定能贏！,再来几回合！我相信你一定能赢！,Oops~ I dropped a piece! Shall we continue the lesson?
好了～現在開始你來連勝看看吧！,好了～現在開始你來連勝看看吧！,好了～现在开始你来连胜看看吧！,You’ve challenged royalty and won... this time.
你有點小看我吧？那就下一回合雪恥！,你有點小看我吧？那就下一回合雪恥！,你有点小看我吧？那就下一回合雪耻！,"That was the first test, hero. Ready for the real deal?"
我要看到你反擊的氣勢，來！,我要看到你反擊的氣勢，來！,我要看到你反击的气势，来！,My magic failed me... one more duel?
現在才開始變好玩呢！,現在才開始變好玩呢！,现在才开始变好玩呢！,That wasn’t part of the prophecy! Let’s play again!
把氣勢拿出來～我等你！,把氣勢拿出來～我等你！,把气势拿出来～我等你！,"Nyaa~ you beat me, but I still want to play~!"
再輸兩局我就要開始喊「好可憐了」喔～,再輸兩局我就要開始喊「好可憐了」喔～,再输两局我就要开始喊「好可怜了」喔～,Huh. Didn’t expect that from you. Another round?
你會贏的，我感覺得出來！,你會贏的，我感覺得出來！,你会赢的，我感觉得出来！,Well well… seems you’re not totally hopeless.
別緊張～我們是在享受遊戲喔♪,別緊張～我們是在享受遊戲喔♪,别紧张～我们是在享受游戏喔♪,Lucky win~ I’ll take that off next time.
再來一次，說不定你就能贏囉～,再來一次，說不定你就能贏囉～,再来一次，说不定你就能赢啰～,Don’t get too excited. One win means nothing.
好啦～這局就當我偷吃步，原諒我～,好啦～這局就當我偷吃步，原諒我～,好啦～这局就当我偷吃步，原谅我～,So... you can win? Prove it again.
很棒了啊！再多玩幾次就上手囉！,很棒了啊！再多玩幾次就上手囉！,很棒了啊！再多玩几次就上手啰！,I bet it won’t happen twice.
一起變強吧～我陪你練習！,一起變強吧～我陪你練習！,一起变强吧～我陪你练习！,"You enjoyed that, didn’t you?"
下一局～展現你的反擊吧！,下一局～展現你的反擊吧！,下一局～展现你的反击吧！,"I lost, but you’re still under my game~"
嗯～我有感覺你快翻盤了喔～,嗯～我有感覺你快翻盤了喔～,嗯～我有感觉你快翻盘了喔～,Try again—maybe I’ll let you win another.
我等你贏我一局，讓我看看你的笑容吧！,我等你贏我一局，讓我看看你的笑容吧！,我等你赢我一局，让我看看你的笑容吧！,I dropped my guard. Won’t happen again~
不要自責唷～這只是遊戲而已～,不要自責唷～這只是遊戲而已～,不要自责唷～这只是游戏而已～,Statistically interesting. Ready for the next trial?
啊呀～是不是手滑了？沒關係的～,啊呀～是不是手滑了？沒關係的～,啊呀～是不是手滑了？没关系的～,You defeated me. Let’s proceed with further testing.
我會陪你練習到你贏為止～,我會陪你練習到你贏為止～,我会陪你练习到你赢为止～,Unexpected outcome. Shall we continue the experiment?
這局我贏～下一局換你囉！,這局我贏～下一局換你囉！,这局我赢～下一局换你啰！,My systems glitched—try again.
我知道你可以的～別灰心唷～,我知道你可以的～別灰心唷～,我知道你可以的～别灰心唷～,Loss registered. Re-engaging next phase.
好溫暖的對手～玩起來超舒服♪,好溫暖的對手～玩起來超舒服♪,好温暖的对手～玩起来超舒服♪,That was… unexpected. Initiating next match.
如果你不開心，那就讓我安慰你一下吧～,如果你不開心，那就讓我安慰你一下吧～,如果你不开心，那就让我安慰你一下吧～,I underestimated your strategy. Curious…
輸了也沒關係～還有我在呀～,輸了也沒關係～還有我在呀～,输了也没关系～还有我在呀～,Adapting. Preparing next challenge.
有時候輸一點點也是種可愛～,有時候輸一點點也是種可愛～,有时候输一点点也是种可爱～,You did well. Let’s analyze more data~
你的努力我都有看到唷～,你的努力我都有看到唷～,你的努力我都有看到唷～,Calculating chance of comeback... let's go again.
哇～我贏了耶！欸？你怎麼不開心？,哇～我贏了耶！欸？你怎麼不開心？,哇～我赢了耶！欸？你怎么不开心？,Meow~ you beat this kitty! Another round?
你看起來好像有點傷心耶～不可以啦！,你看起來好像有點傷心耶～不可以啦！,你看起来好像有点伤心耶～不可以啦！,I’ll wag my tail harder next time!
啊啊～我不是故意贏的啦～,啊啊～我不是故意贏的啦～,啊啊～我不是故意赢的啦～,This elf won’t go down without a rematch!
